net,length_um
_141_,119.61µm
net41,113.855µm
net39,100.22µm
clknet_2_3__leaf_clk,91.32µm
_145_,90.23µm
net45,83.175µm
net46,82.48µm
clknet_2_2__leaf_clk,82.48µm
net42,82.45µm
_144_,79.4µm
_090_,77.83µm
clknet_2_1__leaf_clk,76.7µm
net25,73.965µm
clknet_0_clk,71.48µm
_091_,71.16µm
net20,66.06µm
clknet_2_0__leaf_clk,65.94µm
net24,65.68µm
_079_,64.26µm
net23,60.86µm
net27,59.64µm
phase\[1\],57.76µm
net40,54.8µm
state\[6\],53.98µm
state\[0\],53.65µm
net26,52.975µm
_042_,52.68µm
_078_,51.08µm
net22,51.03µm
clk,49.31µm
_053_,49.12µm
_047_,48.74µm
_062_,46.79µm
net43,46.16µm
net21,43.4µm
_143_,41.765µm
_059_,41.44µm
net44,40.92µm
state\[5\],38.96µm
_049_,37.92µm
state\[3\],36.855µm
_068_,35.1µm
_051_,34.66µm
state\[2\],32.2µm
_142_,31.7µm
_055_,28.58µm
state\[1\],28.54µm
_126_,28.18µm
_048_,27.86µm
_072_,27.28µm
_061_,25.8µm
state\[4\],25.48µm
net36,23.675µm
_076_,23.5µm
_054_,22.7µm
phase\[2\],22.68µm
read_data\[0\],22.32µm
_045_,22.14µm
_084_,22.08µm
net60,22.08µm
read_data\[2\],22.06µm
_077_,21.98µm
read_data\[6\],21.72µm
net38,21.14µm
read_data\[5\],20.12µm
phase\[0\],19.18µm
rst,18.99µm
_128_,16.64µm
_058_,16.32µm
_137_,15.72µm
diag_addr[1],15.41µm
_057_,14.28µm
_050_,14.18µm
_041_,13.92µm
_032_,13.725µm
_085_,13.56µm
read_data\[1\],13.38µm
_043_,13.2µm
read_data\[3\],13.12µm
_081_,13.06µm
read_data\[7\],13.02µm
_096_,12.84µm
net10,12.7µm
_064_,12.35µm
_125_,12.22µm
_082_,12.2µm
mem_din[4],12.15µm
read_data\[4\],12.12µm
diag_addr[4],11.93µm
mem_din[0],11.87µm
net8,11.72µm
net17,11.54µm
_066_,11.46µm
_135_,11.24µm
done,11.19µm
_089_,10.82µm
net72,10.52µm
net15,10.28µm
_065_,10.1µm
net9,10µm
_063_,9.94µm
_103_,9.9µm
diag_addr[3],9.88µm
_046_,9.86µm
_139_,9.78µm
_113_,9.76µm
mem_dout[0],9.64µm
mem_dout[1],9.64µm
_001_,9.485µm
_117_,9.48µm
_011_,9.325µm
net18,9.12µm
_109_,9.03µm
_040_,9.02µm
_002_,8.985µm
net31,8.98µm
_108_,8.82µm
mem_we,8.81µm
mem_dout[3],8.72µm
start,8.63µm
_069_,8.6µm
diag_addr[2],8.5µm
mem_addr[0],8.5µm
mem_addr[1],8.5µm
mem_addr[2],8.5µm
mem_addr[3],8.5µm
mem_addr[4],8.5µm
mem_addr[5],8.5µm
_075_,8.44µm
_015_,8.405µm
net19,8.4µm
net29,8.4µm
_112_,8.38µm
_099_,8.28µm
net16,8.24µm
_094_,8.06µm
_122_,8.02µm
net4,7.94µm
_018_,7.705µm
net7,7.64µm
_080_,7.58µm
_138_,7.44µm
net12,7.28µm
_030_,7.185µm
net14,7.18µm
_106_,7.11µm
_083_,7.06µm
_123_,7.06µm
mem_din[3],6.91µm
pass_fail,6.91µm
_088_,6.78µm
_127_,6.78µm
_028_,6.72µm
net1,6.72µm
net13,6.72µm
_136_,6.64µm
_098_,6.6µm
mem_ce,6.43µm
_037_,6.365µm
net28,6.36µm
_119_,6.33µm
_044_,6.32µm
_114_,6.32µm
mem_dout[5],6.31µm
mem_dout[6],6.31µm
_000_,6.28µm
mem_din[2],6.23µm
mem_din[7],6.23µm
_100_,6.18µm
_118_,6.18µm
_134_,6.14µm
_012_,6.04µm
_039_,6.005µm
mem_dout[7],5.99µm
mem_dout[4],5.97µm
diag_addr[0],5.75µm
mem_addr[6],5.75µm
mem_din[1],5.75µm
_110_,5.68µm
_120_,5.68µm
_007_,5.505µm
_111_,5.38µm
_104_,5.34µm
net37,5.22µm
_008_,5.215µm
_013_,5.185µm
_003_,5.16µm
net52,5.12µm
_014_,5.095µm
diag_addr[6],5.07µm
diag_addr[7],5.07µm
mem_addr[7],5.07µm
mem_din[5],5.07µm
mem_din[6],5.07µm
net63,5.06µm
mem_dout[2],4.95µm
_087_,4.94µm
net55,4.94µm
net6,4.88µm
_131_,4.8µm
net54,4.8µm
_009_,4.585µm
_133_,4.48µm
_130_,4.42µm
diag_addr[5],4.39µm
_019_,4.385µm
net56,4.385µm
net34,4.34µm
net71,4.34µm
_035_,4.295µm
diag_captured,4.22µm
_060_,4.1µm
_105_,4.02µm
net11,4µm
_034_,3.965µm
_093_,3.88µm
net32,3.88µm
net67,3.88µm
_022_,3.78µm
net53,3.78µm
_033_,3.705µm
net62,3.68µm
_029_,3.56µm
_124_,3.56µm
net57,3.56µm
net59,3.56µm
net65,3.54µm
_038_,3.505µm
_101_,3.44µm
net5,3.44µm
_073_,3.42µm
net2,3.42µm
net33,3.42µm
net51,3.42µm
_020_,3.245µm
net58,3.175µm
_005_,3.125µm
_031_,3.115µm
_052_,3.08µm
_121_,3.08µm
_129_,3.08µm
net3,3.08µm
net70,3.08µm
_024_,3.065µm
_025_,3.045µm
net30,2.98µm
net35,2.98µm
_132_,2.96µm
_036_,2.955µm
_004_,2.86µm
_006_,2.86µm
_021_,2.805µm
_092_,2.62µm
_140_,2.62µm
_071_,2.52µm
_027_,2.325µm
net47,2.3µm
net49,2.3µm
net66,2.3µm
net69,2.3µm
_026_,2.255µm
_086_,2.18µm
_102_,2.17µm
_097_,2.16µm
_023_,2.125µm
net61,2.085µm
_010_,1.865µm
_017_,1.865µm
_056_,1.7µm
_016_,1.685µm
_070_,1.48µm
_107_,1.38µm
net68,1.38µm
_074_,1.36µm
_067_,1.26µm
_095_,1.14µm
_116_,1.02µm
net48,0.92µm
net50,0.92µm
_115_,0.46µm
net64,0.46µm
